variant,condition,correct,count,accuracy
baseline,large_clear,6,6,1.0
baseline,small_clear,0,6,0.0
baseline,tiny_clear,0,6,0.0
baseline,small_low_contrast,0,6,0.0
baseline,multi_region_relation,0,8,0.0
baseline,naturalistic_small_text,1,51,0.0196078431372549
rel_att,large_clear,6,6,1.0
rel_att,small_clear,4,6,0.6666666666666666
rel_att,tiny_clear,1,6,0.16666666666666666
rel_att,small_low_contrast,5,6,0.8333333333333334
rel_att,multi_region_relation,0,8,0.0
rel_att,naturalistic_small_text,30,51,0.5882352941176471
grad_att,large_clear,6,6,1.0
grad_att,small_clear,3,6,0.5
grad_att,tiny_clear,2,6,0.3333333333333333
grad_att,small_low_contrast,5,6,0.8333333333333334
grad_att,multi_region_relation,0,8,0.0
grad_att,naturalistic_small_text,27,51,0.5294117647058824
pure_grad,large_clear,6,6,1.0
pure_grad,small_clear,3,6,0.5
pure_grad,tiny_clear,0,6,0.0
pure_grad,small_low_contrast,1,6,0.16666666666666666
pure_grad,multi_region_relation,0,8,0.0
pure_grad,naturalistic_small_text,4,51,0.0784313725490196
pure_grad_repo,large_clear,6,6,1.0
pure_grad_repo,small_clear,3,6,0.5
pure_grad_repo,tiny_clear,0,6,0.0
pure_grad_repo,small_low_contrast,1,6,0.16666666666666666
pure_grad_repo,multi_region_relation,0,8,0.0
pure_grad_repo,naturalistic_small_text,6,51,0.11764705882352941
rel_att_high,large_clear,6,6,1.0
rel_att_high,small_clear,4,6,0.6666666666666666
rel_att_high,tiny_clear,1,6,0.16666666666666666
rel_att_high,small_low_contrast,3,6,0.5
rel_att_high,multi_region_relation,1,8,0.125
rel_att_high,naturalistic_small_text,30,51,0.5882352941176471
grad_att_high,large_clear,6,6,1.0
grad_att_high,small_clear,0,6,0.0
grad_att_high,tiny_clear,1,6,0.16666666666666666
grad_att_high,small_low_contrast,2,6,0.3333333333333333
grad_att_high,multi_region_relation,2,8,0.25
grad_att_high,naturalistic_small_text,21,51,0.4117647058823529
pure_grad_high,large_clear,6,6,1.0
pure_grad_high,small_clear,1,6,0.16666666666666666
pure_grad_high,tiny_clear,0,6,0.0
pure_grad_high,small_low_contrast,0,6,0.0
pure_grad_high,multi_region_relation,0,8,0.0
pure_grad_high,naturalistic_small_text,1,51,0.0196078431372549
pure_grad_repo_high,large_clear,5,6,0.8333333333333334
pure_grad_repo_high,small_clear,0,6,0.0
pure_grad_repo_high,tiny_clear,1,6,0.16666666666666666
pure_grad_repo_high,small_low_contrast,0,6,0.0
pure_grad_repo_high,multi_region_relation,1,8,0.125
pure_grad_repo_high,naturalistic_small_text,9,51,0.17647058823529413
rel_att_ensemble,large_clear,6,6,1.0
rel_att_ensemble,small_clear,3,6,0.5
rel_att_ensemble,tiny_clear,0,6,0.0
rel_att_ensemble,small_low_contrast,5,6,0.8333333333333334
rel_att_ensemble,multi_region_relation,1,8,0.125
rel_att_ensemble,naturalistic_small_text,30,51,0.5882352941176471
rel_att_plus,large_clear,6,6,1.0
rel_att_plus,small_clear,4,6,0.6666666666666666
rel_att_plus,tiny_clear,1,6,0.16666666666666666
rel_att_plus,small_low_contrast,5,6,0.8333333333333334
rel_att_plus,multi_region_relation,1,8,0.125
rel_att_plus,naturalistic_small_text,30,51,0.5882352941176471
