variant,domain,condition,correct,count,accuracy
baseline,imagegen,naturalistic_small_text,1,51,0.0196078431372549
baseline,synthetic,large_clear,8,8,1.0
baseline,synthetic,multi_region_relation,0,8,0.0
baseline,synthetic,small_clear,0,8,0.0
baseline,synthetic,small_low_contrast,0,8,0.0
baseline,synthetic,tiny_clear,0,8,0.0
grad_att,imagegen,naturalistic_small_text,27,51,0.5294117647058824
grad_att,synthetic,large_clear,8,8,1.0
grad_att,synthetic,multi_region_relation,0,8,0.0
grad_att,synthetic,small_clear,5,8,0.625
grad_att,synthetic,small_low_contrast,6,8,0.75
grad_att,synthetic,tiny_clear,4,8,0.5
grad_att_high,imagegen,naturalistic_small_text,21,51,0.4117647058823529
grad_att_high,synthetic,large_clear,8,8,1.0
grad_att_high,synthetic,multi_region_relation,2,8,0.25
grad_att_high,synthetic,small_clear,1,8,0.125
grad_att_high,synthetic,small_low_contrast,2,8,0.25
grad_att_high,synthetic,tiny_clear,1,8,0.125
pure_grad,imagegen,naturalistic_small_text,4,51,0.0784313725490196
pure_grad,synthetic,large_clear,8,8,1.0
pure_grad,synthetic,multi_region_relation,0,8,0.0
pure_grad,synthetic,small_clear,3,8,0.375
pure_grad,synthetic,small_low_contrast,1,8,0.125
pure_grad,synthetic,tiny_clear,0,8,0.0
pure_grad_high,imagegen,naturalistic_small_text,1,51,0.0196078431372549
pure_grad_high,synthetic,large_clear,8,8,1.0
pure_grad_high,synthetic,multi_region_relation,0,8,0.0
pure_grad_high,synthetic,small_clear,2,8,0.25
pure_grad_high,synthetic,small_low_contrast,0,8,0.0
pure_grad_high,synthetic,tiny_clear,1,8,0.125
pure_grad_repo,imagegen,naturalistic_small_text,6,51,0.11764705882352941
pure_grad_repo,synthetic,large_clear,8,8,1.0
pure_grad_repo,synthetic,multi_region_relation,0,8,0.0
pure_grad_repo,synthetic,small_clear,3,8,0.375
pure_grad_repo,synthetic,small_low_contrast,1,8,0.125
pure_grad_repo,synthetic,tiny_clear,0,8,0.0
pure_grad_repo_high,imagegen,naturalistic_small_text,9,51,0.17647058823529413
pure_grad_repo_high,synthetic,large_clear,7,8,0.875
pure_grad_repo_high,synthetic,multi_region_relation,1,8,0.125
pure_grad_repo_high,synthetic,small_clear,1,8,0.125
pure_grad_repo_high,synthetic,small_low_contrast,0,8,0.0
pure_grad_repo_high,synthetic,tiny_clear,1,8,0.125
rel_att,imagegen,naturalistic_small_text,30,51,0.5882352941176471
rel_att,synthetic,large_clear,8,8,1.0
rel_att,synthetic,multi_region_relation,0,8,0.0
rel_att,synthetic,small_clear,6,8,0.75
rel_att,synthetic,small_low_contrast,6,8,0.75
rel_att,synthetic,tiny_clear,3,8,0.375
rel_att_ensemble,imagegen,naturalistic_small_text,30,51,0.5882352941176471
rel_att_ensemble,synthetic,large_clear,8,8,1.0
rel_att_ensemble,synthetic,multi_region_relation,1,8,0.125
rel_att_ensemble,synthetic,small_clear,5,8,0.625
rel_att_ensemble,synthetic,small_low_contrast,6,8,0.75
rel_att_ensemble,synthetic,tiny_clear,2,8,0.25
rel_att_high,imagegen,naturalistic_small_text,30,51,0.5882352941176471
rel_att_high,synthetic,large_clear,8,8,1.0
rel_att_high,synthetic,multi_region_relation,1,8,0.125
rel_att_high,synthetic,small_clear,5,8,0.625
rel_att_high,synthetic,small_low_contrast,4,8,0.5
rel_att_high,synthetic,tiny_clear,1,8,0.125
rel_att_plus,imagegen,naturalistic_small_text,30,51,0.5882352941176471
rel_att_plus,synthetic,large_clear,8,8,1.0
rel_att_plus,synthetic,multi_region_relation,1,8,0.125
rel_att_plus,synthetic,small_clear,6,8,0.75
rel_att_plus,synthetic,small_low_contrast,6,8,0.75
rel_att_plus,synthetic,tiny_clear,3,8,0.375
