sample_id,layer,grid_h,grid_w,bbox,ratio,attention_difference,target_coverage,target_center_hit,center_distance,prediction,answer,correct,raw_response,elapsed_s
synthetic/000_small_clear,0,12,20,1008 387 1232 611,1.0,0.184862661,1.000000000,1,0.035602755,4HHV,4HHV,1,4HHV,0.197833
synthetic/000_small_clear,1,12,20,848 304 1072 528,1.0,0.348802294,0.000000000,0,0.112430378,KCBG,4HHV,0,KCBG,0.278952
synthetic/000_small_clear,2,12,20,1168 304 1392 528,1.0,0.415808551,0.000000000,0,0.119785037,7WQF,4HHV,0,7WQF,0.235057
synthetic/000_small_clear,3,12,20,1088 554 1312 778,1.0,0.080674755,0.924528302,1,0.071324744,4HHV,4HHV,1,4HHV,0.213676
synthetic/000_small_clear,4,12,20,768 387 992 611,1.0,0.114336671,0.000000000,0,0.127147287,7WQF,4HHV,0,7WQF,0.244622
synthetic/000_small_clear,5,12,20,1248 471 1472 695,1.0,0.534573104,0.000000000,0,0.132559611,7WQF,4HHV,0,7WQF,0.241095
synthetic/000_small_clear,6,12,20,768 387 992 611,1.0,0.288716435,0.000000000,0,0.127147287,7WQF,4HHV,0,7WQF,0.211551
synthetic/000_small_clear,7,12,20,928 54 1152 278,1.0,0.437361134,0.000000000,0,0.215006206,7WQF,4HHV,0,7WQF,0.203963
synthetic/000_small_clear,8,12,20,688 721 912 945,1.0,0.143609502,0.000000000,0,0.217213262,7WQF,4HHV,0,7WQF,0.205440
synthetic/000_small_clear,9,12,20,608 304 832 528,1.0,0.160554484,0.000000000,0,0.221613402,KCBG,4HHV,0,KCBG,0.212255
synthetic/000_small_clear,10,12,20,848 387 1072 611,1.0,0.217530747,0.000000000,0,0.087204557,7WQF,4HHV,0,7WQF,0.210710
synthetic/000_small_clear,11,12,20,1008 471 1232 695,1.0,3.481164788,1.000000000,1,0.010553502,4HHV,4HHV,1,4HHV,0.208667
synthetic/000_small_clear,12,12,20,768 638 992 862,1.0,0.696976362,0.000000000,0,0.156480336,7WQF,4HHV,0,7WQF,0.201684
synthetic/000_small_clear,13,12,20,768 776 992 1000,1.0,16.882123356,0.000000000,0,0.210093946,7WQF,4HHV,0,7WQF,0.213298
synthetic/000_small_clear,14,12,20,1008 471 1232 695,1.0,2.305008883,1.000000000,1,0.010553502,4HHV,4HHV,1,4HHV,0.207207
synthetic/000_small_clear,15,12,20,768 776 992 1000,1.0,2.831049926,0.000000000,0,0.210093946,7WQF,4HHV,0,7WQF,0.215033
synthetic/000_small_clear,16,12,20,1008 471 1232 695,1.0,28.418616642,1.000000000,1,0.010553502,4HHV,4HHV,1,4HHV,0.202090
synthetic/000_small_clear,17,12,20,1008 471 1232 695,1.0,101.237943820,1.000000000,1,0.010553502,4HHV,4HHV,1,4HHV,0.202162
synthetic/000_small_clear,18,12,20,1008 471 1232 695,1.0,93.202264719,1.000000000,1,0.010553502,4HHV,4HHV,1,4HHV,0.208060
synthetic/000_small_clear,19,12,20,928 471 1152 695,1.0,37.792222722,1.000000000,1,0.038498869,4HHV,4HHV,1,4HHV,0.201324
synthetic/000_small_clear,20,12,20,1008 471 1232 695,1.0,115.589214848,1.000000000,1,0.010553502,4HHV,4HHV,1,4HHV,0.227889
synthetic/000_small_clear,21,12,20,928 471 1152 695,1.0,66.276539185,1.000000000,1,0.038498869,4HHV,4HHV,1,4HHV,0.319128
synthetic/000_small_clear,22,12,20,1008 471 1232 695,1.0,58.315177599,1.000000000,1,0.010553502,4HHV,4HHV,1,4HHV,0.268696
synthetic/000_small_clear,23,12,20,1008 471 1232 695,1.0,136.597381102,1.000000000,1,0.010553502,4HHV,4HHV,1,4HHV,0.222087
synthetic/000_small_clear,24,12,20,1008 471 1232 695,1.0,112.704377309,1.000000000,1,0.010553502,4HHV,4HHV,1,4HHV,0.228906
synthetic/000_small_clear,25,12,20,1008 471 1232 695,1.0,93.356534323,1.000000000,1,0.010553502,4HHV,4HHV,1,4HHV,0.253251
synthetic/000_small_clear,26,12,20,1376 554 1600 778,1.0,124.714928100,0.000000000,0,0.207043460,7WQF,4HHV,0,7WQF,0.219275
synthetic/000_small_clear,27,12,20,768 554 992 778,1.0,1.066722076,0.000000000,0,0.133271814,7WQF,4HHV,0,7WQF,0.245974
synthetic/000_tiny_clear,0,12,20,1008 304 1232 528,1.0,0.305182978,0.000000000,0,0.079394655,7WQF,4HHV,0,7WQF,0.297339
synthetic/000_tiny_clear,1,12,20,848 304 1072 528,1.0,0.417954382,0.000000000,0,0.112430378,7WQF,4HHV,0,7WQF,0.313727
synthetic/000_tiny_clear,2,12,20,1088 776 1312 1000,1.0,0.418249211,0.000000000,0,0.177384636,7WQF,4HHV,0,7WQF,0.301049
synthetic/000_tiny_clear,3,12,20,848 471 1072 695,1.0,0.133497286,0.000000000,0,0.080302273,7WQF,4HHV,0,7WQF,0.307909
synthetic/000_tiny_clear,4,12,20,768 387 992 611,1.0,0.108376730,0.000000000,0,0.127147287,7WQF,4HHV,0,7WQF,0.297667
synthetic/000_tiny_clear,5,12,20,1248 471 1472 695,1.0,0.556681340,0.000000000,0,0.132559611,7WQF,4HHV,0,7WQF,0.295416
synthetic/000_tiny_clear,6,12,20,768 387 992 611,1.0,0.303165408,0.000000000,0,0.127147287,7WQF,4HHV,0,7WQF,0.299180
synthetic/000_tiny_clear,7,12,20,928 138 1152 362,1.0,0.398797523,0.000000000,0,0.171338501,7WQF,4HHV,0,7WQF,0.294505
synthetic/000_tiny_clear,8,12,20,146 407 414 675,1.2,0.227642377,0.000000000,0,0.440355608,7WQF,4HHV,0,7WQF,0.288827
synthetic/000_tiny_clear,9,12,20,608 304 832 528,1.0,0.132523626,0.000000000,0,0.221613402,7WQF,4HHV,0,7WQF,0.296836
synthetic/000_tiny_clear,10,12,20,848 304 1072 528,1.0,0.263786326,0.000000000,0,0.112430378,7WQF,4HHV,0,7WQF,0.293803
synthetic/000_tiny_clear,11,12,20,1008 471 1232 695,1.0,1.994981180,1.000000000,1,0.010553502,4HHV,4HHV,1,4HHV,0.283421
synthetic/000_tiny_clear,12,12,20,688 638 912 862,1.0,0.709388597,0.000000000,0,0.191424656,7WQF,4HHV,0,7WQF,0.264281
synthetic/000_tiny_clear,13,12,20,768 776 992 1000,1.0,19.945222947,0.000000000,0,0.210093946,7WQF,4HHV,0,7WQF,0.306811
synthetic/000_tiny_clear,14,12,20,1248 638 1472 862,1.0,2.333476757,0.000000000,0,0.164462437,7WQF,4HHV,0,7WQF,0.253450
synthetic/000_tiny_clear,15,12,20,768 776 992 1000,1.0,4.283004272,0.000000000,0,0.210093946,7WQF,4HHV,0,7WQF,0.284296
synthetic/000_tiny_clear,16,12,20,1248 638 1472 862,1.0,30.926928756,0.000000000,0,0.164462437,7WQF,4HHV,0,7WQF,0.279947
synthetic/000_tiny_clear,17,12,20,928 471 1152 695,1.0,65.314044191,1.000000000,1,0.038498869,4HHV,4HHV,1,4HHV,0.262032
synthetic/000_tiny_clear,18,12,20,768 554 992 778,1.0,10.803506907,0.000000000,0,0.133271814,7WQF,4HHV,0,7WQF,0.268011
synthetic/000_tiny_clear,19,12,20,1328 638 1552 862,1.0,40.037564162,0.000000000,0,0.200147768,7WQF,4HHV,0,7WQF,0.262049
synthetic/000_tiny_clear,20,12,20,928 471 1152 695,1.0,41.853008490,1.000000000,1,0.038498869,4HHV,4HHV,1,4HHV,0.270346
synthetic/000_tiny_clear,21,12,20,928 471 1152 695,1.0,26.366756088,1.000000000,1,0.038498869,4HHV,4HHV,1,4HHV,0.260557
synthetic/000_tiny_clear,22,12,20,768 554 992 778,1.0,11.064716721,0.000000000,0,0.133271814,7WQF,4HHV,0,7WQF,0.263349
synthetic/000_tiny_clear,23,12,20,768 554 992 778,1.0,36.985955640,0.000000000,0,0.133271814,7WQF,4HHV,0,7WQF,0.264237
synthetic/000_tiny_clear,24,12,20,928 471 1152 695,1.0,26.923927531,1.000000000,1,0.038498869,4HHV,4HHV,1,4HHV,0.273123
synthetic/000_tiny_clear,25,12,20,768 554 992 778,1.0,24.365587960,0.000000000,0,0.133271814,7WQF,4HHV,0,7WQF,0.252146
synthetic/000_tiny_clear,26,12,20,768 554 992 778,1.0,17.962429560,0.000000000,0,0.133271814,7WQF,4HHV,0,7WQF,0.238144
synthetic/000_tiny_clear,27,12,20,688 554 912 778,1.0,1.720357514,0.000000000,0,0.172970170,7WQF,4HHV,0,7WQF,0.257042
synthetic/001_small_clear,0,12,20,1008 387 1232 611,1.0,0.336379451,0.000000000,0,0.136037937,LTZR,HCKX,0,LTZR,0.232739
synthetic/001_small_clear,1,12,20,688 554 912 778,1.0,0.280426312,0.000000000,0,0.171264711,TICK,HCKX,0,TICK,0.251160
synthetic/001_small_clear,2,12,20,928 304 1152 528,1.0,0.498004897,0.000000000,0,0.183773263,TICK,HCKX,0,TICK,0.231971
synthetic/001_small_clear,3,12,20,768 554 992 778,1.0,0.116084708,0.000000000,0,0.131050745,TICK,HCKX,0,TICK,0.259918
synthetic/001_small_clear,4,12,20,1008 0 1232 224,1.0,0.261051573,0.000000000,0,0.341091482,TICK,HCKX,0,TICK,0.218852
synthetic/001_small_clear,5,12,20,1168 304 1392 528,1.0,0.358350422,0.000000000,0,0.201113823,TICK,HCKX,0,TICK,0.243242
synthetic/001_small_clear,6,12,20,688 471 912 695,1.0,0.177702551,0.000000000,0,0.188255221,TICK,HCKX,0,TICK,0.249486
synthetic/001_small_clear,7,12,20,1008 54 1232 278,1.0,0.352048374,0.000000000,0,0.312474943,TICK,HCKX,0,TICK,0.192360
synthetic/001_small_clear,8,12,20,288 138 512 362,1.0,0.511848224,0.000000000,0,0.462145856,TICK,HCKX,0,TICK,0.189000
